Player,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Country,Role,Base_Price_Lakh,Auction_Price_Lakh,Auction_Team
T Vijay,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2.0,0,29,0,-,-,14.5,-,0,0,India,All-rounder,30.0,30,Delhi Capitals
TA Boult,2015-2026,125,31,21,93,17*,9.3,85,109.41,0,0,3,5,4,124,463.2,11,3935,145,4/18,27.13,8.49,19.1,2,0,New Zealand,,200.0,1250,Mumbai Indians
TH David,2021-2026,66,59,24,1151,70*,32.88,650,177.07,0,2,4,76,83,1,1.0,0,18,0,-,-,18,-,0,0,Australia,All-rounder,200.0,300,Royal Challengers Bengaluru
TU Deshpande,2020-2026,53,10,6,54,25,13.5,36,150,0,0,0,2,4,53,183.5,0,1858,55,4/27,33.78,10.1,20,1,0,India,,100.0,650,Rajasthan Royals
Umran Malik,2021-2024,26,6,4,23,19*,11.5,16,143.75,0,0,2,1,2,26,82.1,1,772,29,5/25,26.62,9.39,17,1,1,India,Bowler,75.0,75,Kolkata Knight Riders
V Nigam,2025-2026,19,10,2,157,39,19.62,89,176.4,0,0,1,17,8,18,48.0,0,469,13,2/18,36.07,9.77,22.1,0,0,India,All-rounder,30.0,50,Delhi Capitals
V Puthur,2025-2025,5,-,-,-,-,-,-,-,-,-,-,-,-,5,12.0,0,109,6,3/32,18.16,9.08,12,0,0,India,All-rounder,30.0,30,Mumbai Indians
V Shankar,2014-2025,78,65,18,1233,69*,26.23,950,129.78,0,7,2,88,48,22,39.4,0,344,9,2/19,38.22,8.67,26.4,0,0,India,,30.0,120,Chennai Super Kings
V Sooryavanshi,2025-2026,23,23,0,1028,103,44.69,449,228.95,2,6,2,81,96,-,-,-,-,-,-,-,-,-,-,-,India,Batter,30.0,110,Rajasthan Royals
V Vyshak,2023-2026,26,6,4,16,13*,8,16,100,0,0,2,0,1,25,86.3,0,906,26,3/20,34.84,10.47,19.9,0,0,India,,30.0,180,Punjab Kings
VG Arora,2022-2026,43,12,8,10,2*,2.5,27,37.03,0,0,3,0,0,42,144.2,1,1406,47,3/27,29.91,9.74,18.4,0,0,India,,30.0,180,Kolkata Knight Riders
VR Iyer,2021-2026,69,62,9,1677,104,31.64,1181,141.99,1,13,2,157,78,9,13.3,0,143,3,2/29,47.66,10.59,27,0,0,India,,200.0,2375,Kolkata Knight Riders
Vishnu Vinod,2017-2026,7,7,1,71,30,11.83,65,109.23,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,India,,30.0,95,Punjab Kings
WG Jacks,2024-2026,28,26,4,602,100*,27.36,379,158.83,1,2,0,50,38,19,31.5,0,314,10,2/14,31.4,9.86,19.1,0,0,England,All-rounder,200.0,525,Mumbai Indians
Washington Sundar,2017-2026,83,61,18,888,55,20.65,656,135.36,0,3,3,82,28,68,195.4,1,1520,40,3/16,38,7.76,29.3,0,0,India,,200.0,320,Gujarat Titans
XC Bartlett,2025-2026,13,4,2,40,18*,20,28,142.85,0,0,1,3,2,13,43.3,0,484,7,2/9,69.14,11.12,37.2,0,0,Australia,Bowler,75.0,80,Punjab Kings
YS Chahal,2013-2026,188,20,13,37,8*,5.28,86,43.02,0,0,1,0,0,184,672.5,4,5417,233,5/40,23.24,8.05,17.3,8,1,India,Bowler,200.0,1800,Punjab Kings
Yash Thakur,2023-2026,22,-,-,-,-,-,-,-,-,-,-,-,-,22,77.5,1,825,27,5/30,30.55,10.59,17.2,1,1,India,,30.0,160,Punjab Kings
Yudhvir Singh,2023-2025,9,4,0,22,14,5.5,16,137.5,0,0,1,1,2,9,23.0,0,253,8,3/47,31.62,11,17.2,0,0,India,All-rounder,30.0,35,Rajasthan Royals
Zeeshan Ansari,2025-2025,10,-,-,-,-,-,-,-,-,-,-,-,-,10,33.5,0,333,6,3/42,55.5,9.84,33.8,0,0,India,Bowler,30.0,40,Sunrisers Hyderabad
